places,visited
Uxmal,False
Progreso,False
Telchac,False
Celestún,False
Cenote maní Chan,False
Cenote Zazil tunich,False
Hameki homun,False
Las coloradas,False
Izamal,False
Ik kil,True
"El cuyo, Yucatán",False
Holbox,False
Ciudad del Carmen,False
"Sanbacuy, Campeche",False
"Sisal, Yucatán",False
"Cascadas de hierve el agua, Oaxaca",False
"Oaxaca,zocatea",False
"Oaxaca, punta cometa",False
Carrizalillo,False
Zipolite,False
Puerto escondido,False
El venado,False
Plata la boquilla,False
San agustinillo,False
Mazunte,False
Mermejita,False
Playa cangrejo,False
Chipehua,False
Chacahua,False
"San José del pacifico, Oaxaca",False
"Museo de Arte musa, Quintana Roo",False
Planetario en puebla,False
"Valle los senderos, San Miguel de Allende",False
Mirador Cuatro Palos,False
Mina Club zacatecas,False
El puente baluarte,False
Real de catorce,False
El faro de Mazatlán,False
Islas Marietas Nayarit,False
El cañón del cobre,False
"Parque fundidora, Monterrey",False
"Hideout, Monterrey",False
"Ensenada, viñedos mexico, creo que Baja California",False
"Chignautla, restaurant cerquita del cielo",False
Cerro del parangaricutirimicuaro,False
El chepe (los Mochis),False
"Dunas de yeso, Coahuila",False
Viñedos la santísima Trinidad,False
"Minas de mármol, Coahuila",False
"Santa María del Oro, Nayarit",False
"Isla Mexcaltitlán, Nayarit",False
"Valle de Guadalupe, Baja California",False
"Tapalpa",False
"Nido de los aguiluchos, Nuevo León",False
"Sótano de las golondrinas, San Luis Potosí",False
"Cascadas Villaluz, Tabasco",False
"Isla cocinas, Jalisco",False
"Dunas de yeso, Coahuila",False
"Real de Catorce, San Luis Potosí",False
"Cañón del infiernillo, Hidalgo",False
"El chuveje, Querétaro",False
"Palenque, chiapas",False
"Gran desierto de Antar, sonora",False
"Cascada los azules, tequila",False
"Monte Albán, Oaxaca",False
"Santuario de las luciérnagas, Tlaxcala",False
"Jardín etnobotánico, Oaxaca",False
"Laguna de Manialtepec, Ministerios de Amor Eterno Asociación Cultural, Oaxaca",False
New York,False
"The wave, Arizona",False
Japón,False
"Parque Hitachi, Japón",False
"Matsumoto Nagano, Japón",False
Sekijuku,False
"Punta cana, República Dominicana",False
"Lofoten, Noruega",False
"Desierto de atacama, chile",False
"Mauna Kea, Hawaii, USA",False
Keukenhof,False
"Salar de ayuni, bolivia",False
Suiza,False
Canadá,False
Noruega,False
Suecia,False
Londres,False
Egipto,False
París,False
Cuba,False
República dominicana,False
Maldivas,False
"Paros, Grecia on Evening",False
Stella Island resort,False
"Wiltshire, England",False
Myconos Grecia,False
"Granada, Spain",False
"Utrech, Países Bajos",False
"Hallstat, Austria",False
Mallorca España,False
Windsor Great park UK,False
"Peak hill, Nueva Zelanda",False
Glacier national park,False
"Ohrid, north macedonia",False
"Nor fjord in Stryn, Norway",False
"Petra, Jordan",False
Villa del vialbanello,False
"107 Great Russel St, London, WC1B 3NA",False
Singapore,False
"El valle del elqui, chile",False
Kamicochi nagano,False
OGARRIO,False
CREEL,False
REAL DE CATORCE,False
VALLADOLID,True
EL FUERTE,False
PATZCUARO,False
TEPOZTLAN,False
CHIAPA DE CORZO,False
"Boca de Tomatlán, Jalisco",False
Nevado de Toluca,True
Bacalar,True
"Isla mujeres",True
Teotihuacan,True
Peña de Bernal,True
"Playa balandra, baja California sur",True
Taxco,True
La pirámide de Cholula,True
Jardines de México morelos,True
San Miguel de Allende,True
Hierve el Agua,False
Chichen Itza,True
"El sundial, san luis potosi", False
"the land of the legends, antalya, turkey", False
